property_id,account_number,name,address1,city,state_prov,postal_code,primary_contact_id
661,16745-000,"So Fine Limousine Service","Greenlawn","Snoqualamish","WA",98215,10000082
662,16748-000,"Sloan Paul &#38; Charlene Sloan","Federal","Snoqualamish","WA",98215,10000094
665,16755-000,"Opus One Designs","Guard-Well","Snoqualamish","WA",98215,
685,16891-000,"A &#38; B Forest Fresh CO","Ferguson","Snoqualamish","WA",98215,
692,16989-000,"Steele Elementary School","Crooked Elm","Snoqualamish","WA",98215,
702,17063-000,"Maria Elena's Mexican Restaurant","Library","Snoqualamish","WA",98215,
724,17352-000,"New Again Auto Re-Con Systems","Fawn Meadow","Snoqualamish","WA",98215,
757,17637-000,"Little Ceasars Pizza","Taylor","Fairfax","CA",94930,10000083
762,21643-000,"Splash of Color","Kodiak","Snoqualamish","WA",98215,
769,17776-000,"National Lender Services Inc","Grace","Snoqualamish","WA",98215,10000084
788,18079-000,"Steward Painting &#38; Restoration","Carter's Corner","Snoqualamish","WA",98215,10000095
798,18166-000,"Toys-R-Us","Vinson","Snoqualamish","WA",98215,
824,18362-000,"Quality Surface of Metro Snoqualamish","Seay","Snoqualamish","WA",98215,
835,19182-000,"Real Property Valuations Inc","Linksway","Snoqualamish","WA",98215,
838,19545-000,"Mann Robert Oriental","Ketterington","Snoqualamish","WA",98215,10000100
839,19728-000,"Xelco Collection Service","Willow Park","Snoqualamish","WA",98215,10000104
845,19897-000,"Lanyon Sprinkler CO","Prairie Run","Snoqualamish","WA",98215,10000096
861,20089-000,"A-Quest Electronics","Preston Mill","Snoqualamish","WA",98215,
100016,,"Academy Veterinary Hospital","Lighthouse","Snoqualiamish","WA",98215,10000105
100045,,"Bethesda At St Anthony Hospital North","Woodcreek","Snoqualiamish","WA",98215,10000101
100062,,"Children's Hospital","Naples National","Snoqualiamish","WA",98215,10000076
100087,,"U S Hospitality Consultant","Woodsfield","Snoqualiamish","WA",98215,
100092,,"Echosphere Corporation","West View","Snoqualiamish","WA",98215,
100122,,"Hospital Shared Services Warehouse","Buena Park","Snoqualiamish","WA",98215,10000078
100127,,"Hospitality Flowers &#38; Gifts","Sheridan","Snoqualiamish","WA",98215,
100129,,"Hospitality Group Inc The","Cali Glen","Snoqualiamish","WA",98215,
100414,,"Willie","12212",,,,10000133
100412,,"Bill's Balloon Bonanza","Helium","San Rafael","CA",94901,10000112
100410,,"Greg's House of Pancakes","El Monte","Snoqualamish","Wa",98215,10000108
